,precision,recall,f1-score,support
Male,0.8408408408408409,0.9655172413793104,0.8988764044943821,290.0
Female,0.9625468164794008,0.8290322580645161,0.8908145580589254,310.0
accuracy,0.895,0.895,0.895,0.895
macro avg,0.9016938286601208,0.8972747497219132,0.8948454812766538,600.0
weighted avg,0.9037222615874301,0.895,0.8947111171693962,600.0
